ECDS_UniqueID,Sort1,Sort2,Sort3,ECDS_Group1,ECDS_Group2,ECDS_Group3,ECDS_Description,ECDS_SearchTerms,SNOMED_Code,Flag_Injury,Flag_NotifiableDisease,Flag_Male,Flag_Female,Flag_Allergy,Flag_SDEC,Flag_ADS,Notes,ICD10_Mapping
UEC04DIA1111111000,11,11,11,Soft tissue inj / wound,Wound : lac / incised / bite,Head,Open wound : scalp,wound lac incised bite head scalp laceration face,210323002,1,0,1,1,0,0,1,New code introduced July 2021,S01.0
UEC04DIA1111131000,11,11,13,Soft tissue inj / wound,Wound : lac / incised / bite,Ear,Open wound : ear,wound lac incised bite face laceration head ear pinna lobe,11386000,1,0,1,1,0,0,1,New code introduced July 2021,S01.3
UEC04DIA1111151000,11,11,15,Soft tissue inj / wound,Wound : lac / incised / bite,Nose,Open wound : nose,wound lac incised bite face laceration head nose nasal,210325009,1,0,1,1,0,0,1,New code introduced July 2021,S01.2
UEC04DIA1111211000,11,11,21,Soft tissue inj / wound,Wound : lac / incised / bite,Lip,Open wound : lip,wound lac incised bite face laceration head lip,210344002,1,0,1,1,0,0,1,,S01.5
UEC04DIA1111231000,11,11,23,Soft tissue inj / wound,Wound : lac / incised / bite,Mouth,Open wound : mouth,wound lac incised bite face laceration head mouth gum palate,210358000,1,0,1,1,0,0,1,New code introduced July 2021,S01.5
UEC04DIA1111241000,11,11,24,Soft tissue inj / wound,Wound : lac / incised / bite,Tongue,Open wound : tongue,wound lac incised bite face laceration head tongue mouth,210363001,1,0,1,1,0,0,1,New code introduced July 2021,S01.5
UEC04DIA1111251000,11,11,25,Soft tissue inj / wound,Wound : lac / incised / bite,Frenulum of tongue,Open wound : frenulum (tongue),wound lac incised bite face laceration head frenulum tongue,249389002,1,0,1,1,0,0,1,,S01.5
UEC04DIA1111291000,11,11,29,Soft tissue inj / wound,Wound : lac / incised / bite,Face,Open wound : face,wound lac incised bite face laceration head cheek forehead chin,210339009,1,0,1,1,0,0,1,,S01.8
UEC04DIA1111311000,11,11,31,Soft tissue inj / wound,Wound : lac / incised / bite,Neck,Open wound : neck,wound lac incised bite neck laceration face head,125644007,1,0,1,1,0,0,1,,S11.9
UEC04DIA1111351000,11,11,35,Soft tissue inj / wound,Wound : lac / incised / bite,Chest,Open wound : chest,wound lac incised bite thorax laceration back trunk,127314000,1,0,1,1,0,0,1,,S21.9
UEC04DIA1111371000,11,11,37,Soft tissue inj / wound,Wound : lac / incised / bite,Back,Open wound : back,wound lac incised bite thorax laceration back trunk,269169002,1,0,1,1,0,0,1,,S31.0
UEC04DIA1111411000,11,11,41,Soft tissue inj / wound,Wound : lac / incised / bite,Abdomen,Open wound : abdomen,wound lac incised bite abdomen laceration stomach tummy open wound of anterior abdominal wall,210456000,1,0,1,1,0,0,1,Code introduced as replacement for inactivated code by SNOMED.,S31.1
UEC04DIA1111451000,11,11,45,Soft tissue inj / wound,Wound : lac / incised / bite,Genitals,Open wound : genitals,wound lac incised bite perineum laceration genital penis vagina vulva testis testes balls,274168009,1,0,1,1,0,0,1,New code introduced July 2021,S31.5
UEC04DIA1111471000,11,11,47,Soft tissue inj / wound,Wound : lac / incised / bite,Pelvic region,Open wound : pelvic region,wound lac incised bite perineum laceration genital penis vagina vulva testis testes balls,210483004,1,0,1,1,0,0,1,New code introduced July 2021,S31.0
