ECDS_UniqueID,Sort1,Sort2,ECDS_Group1,ECDS_Description,SNOMED_Code
UEC04DGF1111111000,11,11,Community,General Practitioner,989501000000106
UEC04DGF1121111000,11,21,Community,Physiotherapy,306170007
UEC04DGF1131111000,11,31,Community,Dentist,306735003
UEC04DGF1141111000,11,41,Community,Community psychiatric support services,183584001
UEC04DGF1151111000,11,51,Community,Other community service,710915002
UEC04DGF2111111000,21,11,Hospital,Fracture clinic,301791000000104
UEC04DGF2121111000,21,21,Hospital,Extended Care Episode (inc ED/SDEC review),1465201000000106
UEC04DGF2131111000,21,31,Hospital,Outpatients (not fracture clinic),1066111000000103
UEC04DGF2161111000,21,61,Hospital,Medical specialist (private),266747000
UEC04DGF9111111000,91,11,No referral,No referral,3780001
