ECDS_UniqueID,Sort1,Sort2,ECDS_Group1,ECDS_Description,SNOMED_Code
UEC04DGS1111111000,11,11,Treatment complete,Treatment complete,182992009
UEC04DGS2111111000,21,11,Streamed at assessment,Streamed to primary care service / GP,1077021000000100
UEC04DGS2121111000,21,21,Streamed at assessment,Streamed to Urgent Care Centre,1077031000000103
UEC04DGS2131111000,21,31,Streamed at assessment,Streamed to Emergency Department,1077781000000101
UEC04DGS2135111000,21,35,Streamed at assessment,Streamed to inpatient unit,1324201000000109
UEC04DGS2141111000,21,41,Streamed at assessment,Same Day Emergency Care service,1077081000000104
UEC04DGS2151111000,21,51,Streamed at assessment,Streamed to falls service,1077091000000102
UEC04DGS2155111000,21,55,Streamed at assessment,Streamed to frailty service,1077101000000105
UEC04DGS2161111000,21,61,Streamed at assessment,Streamed to mental health service,1077041000000107
UEC04DGS2171111000,21,71,Streamed at assessment,Streamed to dental service,1077051000000105
UEC04DGS2181111000,21,81,Streamed at assessment,Streamed to ophthalmology service,1077061000000108
UEC04DGS2191111000,21,91,Left before treatment complete,Left before initial assessment,1066301000000103
UEC04DGS3111111000,31,11,Streamed at assessment,Streamed to pharmacy service,1077071000000101
UEC04DGS5121111000,51,21,Left before treatment complete,Left after assessment with intent to attend other healthcare provider,1066311000000101
UEC04DGS5141111000,51,41,Left before treatment complete,Left after assessment but before treatment complete (destination unknown),1066321000000107
UEC04DGS8111111000,81,11,Died,Dead on arrival,63238001
UEC04DGS8121111000,81,21,Died,Died in the Emergency Care facility,75004002
