ECDS_UniqueID,Sort1,Sort2,ECDS_Group1,ECDS_Description,SNOMED_Code
UEC04IJT1121111000,11,21,Leisure at home,Indoor recreation,1068401000000109
UEC04IJT1125111000,11,25,Leisure at home,Using electronic device - TV / game / computer,1068291000000103
UEC04IJT1141111000,11,41,Leisure at home,Ascending stairs,1068301000000104
UEC04IJT1142111000,11,42,Leisure at home,Descending stairs,1068311000000102
UEC04IJT1145111000,11,45,Leisure at home,Walking indoors,1068321000000108
UEC04IJT1211111000,12,11,Essential activities,Food preparation (inc. as work),1068341000000101
UEC04IJT1221111000,12,21,Essential activities,Food consumption,1068351000000103
UEC04IJT1241111000,12,41,Essential activities,In bedroom / sleeping,1068421000000100
UEC04IJT1261111000,12,61,Essential activities,Bathing,1068371000000107
UEC04IJT1262111000,12,62,Essential activities,Showering,1068381000000109
UEC04IJT1265111000,12,65,Essential activities,Using toilet facility,1068791000000107
UEC04IJT1271111000,12,71,Essential activities,Being nursed / cared for,1068361000000100
UEC04IJT1361111000,13,61,Leisure,DIY / maintenance,1068411000000106
UEC04IJT1371111000,13,71,Leisure,Gardening,1068391000000106
UEC04IJT1381111000,13,81,Leisure,Crafts,1068001000000102
UEC04IJT1385111000,13,85,Leisure,Hobbies,1068061000000103
UEC04IJT1511111000,15,11,Leisure outside home,Shopping,1082511000000106
UEC04IJT1521111000,15,21,Leisure outside home,Social : restaurant / cafe / pub / club,1068281000000100
UEC04IJT1531111000,15,31,Leisure outside home,Social : play / recreation,1068271000000102
UEC04IJT1541111000,15,41,Leisure outside home,Entertainment : cinema,1068031000000108
UEC04IJT1543111000,15,43,Leisure outside home,Entertainment : theatre,1068051000000101
UEC04IJT1551111000,15,51,Leisure outside home,Entertainment : music,1068041000000104
UEC04IJT1581111000,15,81,Leisure outside home,Fishing,1068811000000108
UEC04IJT1585111000,15,85,Leisure outside home,Hunting,1068801000000106
UEC04IJT2111111000,21,11,Transport,Walking outdoors,1068331000000105
UEC04IJT2115111000,21,15,Transport,Pedestrian crossing road,1068651000000108
UEC04IJT2121111000,21,21,Transport,Cyclist on road / public highway,1068431000000103
UEC04IJT2131111000,21,31,Transport,Motorcycle rider,1068681000000102
UEC04IJT2132111000,21,32,Transport,Motorcycle passenger,1068731000000106
UEC04IJT2141111000,21,41,Transport,Motor vehicle driver,1068741000000102
UEC04IJT2142111000,21,42,Transport,Motor vehicle passenger (not public transport),1068751000000104
UEC04IJT2161111000,21,61,Transport,Passenger (public transport),1068781000000105
UEC04IJT2171111000,21,71,Transport,Electric personal mobility device,1076901000000105
UEC04IJT4111111000,41,11,Work,Manual / unskilled / labour,1068591000000101
UEC04IJT4115111000,41,15,Work,Trade / retail,1068621000000103
UEC04IJT4121111000,41,21,Work,Administration / clerical / professional,1068581000000103
UEC04IJT4131111000,41,31,Work,Healthcare / caring,1068531000000102
UEC04IJT4135111000,41,35,Work,Teaching,1068641000000105
UEC04IJT4141111000,41,41,Work,Entertainment / creative,1068661000000106
UEC04IJT4145111000,41,45,Work,Security work,1068631000000101
UEC04IJT4155111000,41,55,Work,Factory work,1068551000000109
UEC04IJT4161111000,41,61,Work,Environmental,1068611000000109
UEC04IJT4165111000,41,65,Work,Engineering / technology,1068601000000107
UEC04IJT4167111000,41,67,Work,Science / research,1068671000000104
UEC04IJT4171111000,41,71,Work,Construction / maintenance,1068571000000100
UEC04IJT4175111000,41,75,Work,Farming,1068541000000106
UEC04IJT4177111000,41,77,Work,Mining,1068561000000107
UEC04IJT6111111000,61,11,Sports : team : ball,Football (soccer),1067311000000103
UEC04IJT6121111000,61,21,Sports : team : ball,Rugby union,1067331000000106
UEC04IJT6122111000,61,22,Sports : team : ball,Rugby league,1067321000000109
UEC04IJT6131111000,61,31,Sports : team : ball,Australian rules football,1067591000000102
UEC04IJT6132111000,61,32,Sports : team : ball,Gaelic football,1067581000000104
UEC04IJT6135111000,61,35,Sports : team : ball,American football,1067391000000107
UEC04IJT6141111000,61,41,Sports : team : ball,Basketball,1067341000000102
UEC04IJT6143111000,61,43,Sports : team : ball,Netball,1067351000000104
UEC04IJT6145111000,61,45,Sports : team : ball,Volleyball,1067371000000108
UEC04IJT6147111000,61,47,Sports : team : ball,Korfball,1067381000000105
UEC04IJT6191111000,61,91,Sports : team : ball,Handball,1067361000000101
UEC04IJT6311111000,63,11,Sports : team : bat / stick,Hockey,1067401000000105
UEC04IJT6321111000,63,21,Sports : team : bat / stick,Cricket,1067421000000101
UEC04IJT6331111000,63,31,Sports : team : bat / stick,Baseball,1067431000000104
UEC04IJT6335111000,63,35,Sports : team : bat / stick,Softball,1067441000000108
UEC04IJT6341111000,63,41,Sports : team : bat / stick,Lacrosse,1067411000000107
UEC04IJT6345111000,63,45,Sports : team : bat / stick,Hurling,1068011000000100
UEC04IJT6911111000,69,11,Sports : racquet,Tennis,1067451000000106
UEC04IJT6921111000,69,21,Sports : racquet,Squash,1067461000000109
UEC04IJT6931111000,69,31,Sports : racquet,Badminton,1067471000000102
UEC04IJT6941111000,69,41,Sports : racquet,Table tennis,1067481000000100
UEC04IJT6951111000,69,51,Sports : racquet,Real tennis,1068021000000106
UEC04IJT7011111000,70,11,Sports : target / precision,Golf,1067491000000103
UEC04IJT7021111000,70,21,Sports : target / precision,Pool,1067501000000109
UEC04IJT7022111000,70,22,Sports : target / precision,Snooker,1067511000000106
UEC04IJT7031111000,70,31,Sports : target / precision,Darts,1067521000000100
UEC04IJT7041111000,70,41,Sports : target / precision,Croquet / roque,1067531000000103
UEC04IJT7045111000,70,45,Sports : target / precision,Bowls,1067541000000107
UEC04IJT7047111000,70,47,Sports : target / precision,Ten pin bowling,1067551000000105
UEC04IJT7071111000,70,71,Sports : target / precision,Archery,1068071000000105
UEC04IJT7073111000,70,73,Sports : target / precision,Boules,1068261000000109
UEC04IJT7075111000,70,75,Sports : target / precision,Clay pigeon shooting,1067561000000108
UEC04IJT7077111000,70,77,Sports : target / precision,Target shooting,1067571000000101
UEC04IJT7311111000,73,11,Sports : athletics,Jogging,1068091000000109
UEC04IJT7321111000,73,21,Sports : athletics,Running,1068081000000107
UEC04IJT7331111000,73,31,Sports : athletics,Fell / mountain running,1067611000000105
UEC04IJT7341111000,73,41,Sports : athletics,Power-walking / race-walking,1068101000000101
UEC04IJT7351111000,73,51,Sports : athletics,Jumping sports,1068111000000104
UEC04IJT7361111000,73,61,Sports : athletics,Throwing sports,1068121000000105
UEC04IJT7511111000,75,11,Sports : gym / acrobatic / aesthetic,Trampoline,1068131000000107
UEC04IJT7521111000,75,21,Sports : gym / acrobatic / aesthetic,Gymnastics,1067621000000104
UEC04IJT7523111000,75,23,Sports : gym / acrobatic / aesthetic,Gym : aerobics,1067631000000102
UEC04IJT7525111000,75,25,Sports : gym / acrobatic / aesthetic,Gym : circuit training,1067641000000106
UEC04IJT7527111000,75,27,Sports : gym / acrobatic / aesthetic,Yoga,1068491000000102
UEC04IJT7528111000,75,28,Sports : gym / acrobatic / aesthetic,Tai chi,1068511000000105
UEC04IJT7529111000,75,29,Sports : gym / acrobatic / aesthetic,Pilates,1068501000000108
UEC04IJT7541111000,75,41,Sports : gym / acrobatic / aesthetic,Cheerleading,1068821000000102
UEC04IJT7545111000,75,45,Sports : gym / acrobatic / aesthetic,Dancing,1068471000000101
UEC04IJT7561111000,75,61,Sports : gym / acrobatic / aesthetic,Indoor gym equipment,1067651000000109
UEC04IJT7565111000,75,65,Sports : gym / acrobatic / aesthetic,Weightlifting / body building,1067661000000107
UEC04IJT7711111000,77,11,Sports : combat,Judo,1068151000000100
UEC04IJT7715111000,77,15,Sports : combat,Taekwondo,1068161000000102
UEC04IJT7721111000,77,21,Sports : combat,Martial arts,1068171000000109
UEC04IJT7741111000,77,41,Sports : combat,Boxing,1067671000000100
UEC04IJT7745111000,77,45,Sports : combat,Kick-boxing,1067681000000103
UEC04IJT7751111000,77,51,Sports : combat,Wrestling,1067691000000101
UEC04IJT7761111000,77,61,Sports : combat,Fencing,1068141000000103
UEC04IJT7911111000,79,11,Sports : wheeled,Cycling : track,1068451000000105
UEC04IJT7921111000,79,21,Sports : wheeled,Cycling : mountain biking,1068461000000108
