ECDS_UniqueID,Sort1,Sort2,ECDS_Group1,ECDS_Description,SNOMED_Code
UEC04IJP1111111000,11,11,Home,Living room,1064991000000101
UEC04IJP1115111000,11,15,Home,Kitchen,1065001000000108
UEC04IJP1121111000,11,21,Home,Garage,1065011000000105
UEC04IJP1125111000,11,25,Home,Hallway,1065021000000104
UEC04IJP1131111000,11,31,Home,Stairway,1065031000000102
UEC04IJP1135111000,11,35,Home,Bathroom,1065041000000106
UEC04IJP1141111000,11,41,Home,Bedroom,1065051000000109
UEC04IJP1145111000,11,45,Home,Utility room,1065061000000107
UEC04IJP1151111000,11,51,Home,Study,1065071000000100
UEC04IJP1155111000,11,55,Home,Dining room,1065081000000103
UEC04IJP1161111000,11,61,Home,Home gym,1065091000000101
UEC04IJP1165111000,11,65,Home,Conservatory,1065101000000109
UEC04IJP1175111000,11,75,Home,Garden,1065411000000104
UEC04IJP1185111000,11,85,Home,Outbuilding / shed,1065121000000100
UEC04IJP1191111000,11,91,Home,Swimming pool,1065111000000106
UEC04IJP1192111000,11,92,Home,Pond,1065131000000103
UEC04IJP2111111000,21,11,Residential building,Residential / nursing home,244291000000107
UEC04IJP2121111000,21,21,Residential building,Hotel / bed and breakfast,1079571000000100
UEC04IJP2141111000,21,41,Residential building,Student accommodation,1079581000000103
UEC04IJP2161111000,21,61,Residential building,Hostel homeless,1079661000000106
UEC04IJP3131111000,31,31,Entertainment,Inside licensed premises : pub club bar,1079551000000109
UEC04IJP3132111000,31,32,Entertainment,Outside licensed premises : pub club bar,1079561000000107
UEC04IJP3151111000,31,51,Entertainment,Music venue e.g. nightclub,1079641000000105
UEC04IJP3153111000,31,53,Entertainment,Live music venue e.g. concert hall,1079651000000108
UEC04IJP3155111000,31,55,Entertainment,Music festival site,1079601000000107
UEC04IJP3161111000,31,61,Entertainment,Cinema,1079691000000100
UEC04IJP3162111000,31,62,Entertainment,Theatre,1079681000000102
UEC04IJP4111111000,41,11,Public area,Educational establishment,244211000000103
UEC04IJP4121111000,41,21,Public area,Retail service area e.g. shop,981021000000108
UEC04IJP4131111000,41,31,Public area,Workplace,244321000000102
UEC04IJP4161111000,41,61,Public area,Public building,244281000000105
UEC04IJP4171111000,41,71,Public area,Sports facility,244301000000106
UEC04IJP4191111000,41,91,Public area,Medical / clinical area,244251000000104
UEC04IJP5111111000,51,11,Transport,Private vehicle,1083191000000104
UEC04IJP5121111000,51,21,Transport,Private hire vehicle / taxi,1083181000000101
UEC04IJP5131111000,51,31,Transport,Bus,1083141000000109
UEC04IJP5141111000,51,41,Transport,Train,1083151000000107
UEC04IJP5151111000,51,51,Transport,Tram,1083171000000103
UEC04IJP5153111000,51,53,Transport,Underground train,1083161000000105
UEC04IJP5171111000,51,71,Transport,"Transport interchange : airport, station",1082741000000103
UEC04IJP8111111000,81,11,Outdoor,Road / pavement,244231000000106
UEC04IJP8121111000,81,21,Outdoor,Recreational area,979981000000100
UEC04IJP8131111000,81,31,Outdoor,Countryside,979971000000102
UEC04IJP8141111000,81,41,Outdoor,Farm,979961000000109
UEC04IJP8145111000,81,45,Outdoor,Construction area,244201000000100
UEC04IJP8151111000,81,51,Outdoor,Military barracks army,1079631000000101
UEC04IJP8161111000,81,61,Outdoor,Water / waterside,980891000000109
UEC04IJP8191111000,81,91,Outdoor,Derelict building,1079591000000101
UEC04IJP9121111000,91,21,Custodial services,Police,1079671000000104
UEC04IJP9141111000,91,41,Custodial services,Prison,1079611000000109
UEC04IJP9161111000,91,61,Custodial services,Detention centre,1079621000000103
