ECDS_UniqueID,Sort1,Sort2,ECDS_Group1,ECDS_Description,SNOMED_Code
UEC04ATS1111111000,11,11,Personal,Self / family / friends / education / work colleague,1991000124105
UEC04ATS1131111000,11,31,Personal,"Carer (external, not family / friend)",1065391000000104
UEC04ATS1171111000,11,71,Personal,Non-NHS telephone / internet advice,315261000000101
UEC04ATS3111111000,31,11,Primary care,GP / practice nurse,276491000
UEC04ATS3121111000,31,21,Primary care,Out of hours GP service,1082331000000106
UEC04ATS3151111000,31,51,Primary care,NHS telephone / internet advice e.g. NHS 111,879591000000102
UEC04ATS5131111000,51,31,Hospital,Emergency department,1066431000000102
UEC04ATS5141111000,51,41,Hospital,Urgent care service,1066441000000106
UEC04ATS5151111000,51,51,Hospital,Outpatient service including SDEC,835091000000109
UEC04ATS5161111000,51,61,Hospital,Inpatient,835101000000101
UEC04ATS5171111000,51,71,Hospital,Extended Care Episode,1465211000000108
UEC04ATS5191111000,51,91,Hospital,Private specialist,1079521000000104
UEC04ATS6111111000,61,11,Community,Community nurse (not practice nurse),1077191000000103
UEC04ATS6115111000,61,15,Community,Health visitor,1052681000000105
UEC04ATS6121111000,61,21,Community,Midwife,185363009
UEC04ATS6125111000,61,25,Community,School nurse,1065401000000101
UEC04ATS6131111000,61,31,Community,Community mental health nurse,1077201000000101
UEC04ATS6137111000,61,37,Community,Mental health assessment team,1065991000000100
UEC04ATS6141111000,61,41,Community,Social services,877171000000103
UEC04ATS6145111000,61,45,Community,Older persons day care centre,1077761000000105
UEC04ATS6147111000,61,47,Community,Homeless persons drop in centre,1077211000000104
UEC04ATS6151111000,61,51,Community,Custodial services : prison,1066011000000104
UEC04ATS6155111000,61,55,Community,Custodial services : detention centre,1066001000000101
UEC04ATS6161111000,61,61,Community,Pharmacist (including community pharmacist),185369008
UEC04ATS6171111000,61,71,Community,Dentist (including community dentist),185366001
UEC04ATS6181111000,61,81,Community,Optician / optometrist,185368000
UEC04ATS8121111000,81,21,Emergency Services,Advanced care practitioner,1066021000000105
UEC04ATS8131111000,81,31,Emergency Services,Ambulance service,198261000000104
UEC04ATS8151111000,81,51,Emergency Services,Police service / forensic medical officer,889801000000100
UEC04ATS8171111000,81,71,Emergency Services,Fire service,1066031000000107
UEC04ATS8181111000,81,81,Emergency Services,Search and rescue,1066061000000102
UEC04ATS8183111000,81,83,Emergency Services,Coastguard,1066041000000103
UEC04ATS8185111000,81,85,Emergency Services,Mountain rescue,1066051000000100
