ECDS_UniqueID,Sort1,Sort2,ECDS_Group1,ECDS_Description,SNOMED_Code
UEC04RTS1111111000,11,11,Medical,Acute medicine,1064851000000104
UEC04RTS1113111000,11,13,Medical,Ambulatory care,898791000000105
UEC04RTS1115111000,11,15,Medical,General medicine,183516009
UEC04RTS1121111000,11,21,Medical,Care of the elderly,183522000
UEC04RTS1125111000,11,25,Medical,Respiratory medicine,306114008
UEC04RTS1131111000,11,31,Medical,Cardiology,183519002
UEC04RTS1135111000,11,35,Medical,Gastroenterology,183523005
UEC04RTS1141111000,11,41,Medical,Infectious disease,306124000
UEC04RTS1145111000,11,45,Medical,Endocrinology,306118006
UEC04RTS1151111000,11,51,Medical,Clinical oncology,306140002
UEC04RTS1155111000,11,55,Medical,Haematology,306148009
UEC04RTS1161111000,11,61,Medical,Neurology,183521007
UEC04RTS1165111000,11,65,Medical,Stroke,306802002
UEC04RTS1167111000,11,67,Medical,Rehabilitation,307374004
UEC04RTS1171111000,11,71,Medical,Palliative care,306237005
UEC04RTS1175111000,11,75,Medical,Nephrology,306125004
UEC04RTS1177111000,11,77,Medical,Rheumatology,306127007
UEC04RTS1181111000,11,81,Medical,Dermatology,183518005
UEC04RTS1185111000,11,85,Medical,Clinical allergy,306111000
UEC04RTS1187111000,11,87,Medical,Medical ophthalmology,306285006
UEC04RTS1191111000,11,91,Medical,Genitourinary medicine,306123006
UEC04RTS2112111000,21,12,Surgical,General surgery,183542009
UEC04RTS2115111000,21,15,Surgical,Orthopaedic surgery,183545006
UEC04RTS2120111000,21,20,Surgical,Trauma surgery,306200004
UEC04RTS2125111000,21,25,Surgical,Neurosurgery,183546007
UEC04RTS2128111000,21,28,Surgical,Urology,306201000
UEC04RTS2129111000,21,29,Surgical,Vascular surgery,306934005
UEC04RTS2130111000,21,30,Surgical,"Ear, nose and throat",183544005
UEC04RTS2140111000,21,40,Surgical,Plastic surgery,306198005
UEC04RTS2142111000,21,42,Surgical,Ophthalmology,183543004
UEC04RTS2145111000,21,45,Surgical,Cardiothoracic surgery,306182003
UEC04RTS2146111000,21,46,Surgical,Thoracic surgery,306184002
UEC04RTS2150111000,21,50,Surgical,Dental surgery,327121000000104
UEC04RTS2151111000,21,51,Surgical,Oral surgery,384712002
UEC04RTS2152111000,21,52,Surgical,Maxillofacial surgery,384711009
UEC04RTS3115111000,31,15,Critical Care,Adult intensive care,306107006
UEC04RTS3121111000,31,21,Critical Care,Paediatric critical care,975951000000109
UEC04RTS3131111000,31,31,Critical Care,Interventional radiology,382271000000102
UEC04RTS3151111000,31,51,Critical Care,Referral to hyperbaric medicine service,770677000
UEC04RTS4111111000,41,11,Paediatrics,General paediatrics,306128002
UEC04RTS4115111000,41,15,Paediatrics,Paediatric surgical,183547003
UEC04RTS4122111000,41,22,Paediatrics,Neonatology,306132008
UEC04RTS4131111000,41,31,Paediatrics,Paediatric orthopaedic,850281000000109
UEC04RTS4139111000,41,39,Paediatrics,Paediatric cardiology,417311009
UEC04RTS4150111000,41,50,Paediatrics,Paediatric dentistry,306188004
UEC04RTS4135111000,41,35,Paediatrics,"Paediatric ear, nose and throat",1144648000
UEC04RTS4159111000,41,59,Paediatrics,Paediatric eye care,344131000000108
UEC04RTS4160111000,41,60,Paediatrics,Paediatric gynaecology,700125004
UEC04RTS4165111000,41,65,Paediatrics,Paediatric neurology,306130000
UEC04RTS4170111000,41,70,Paediatrics,Paediatric oncology,306131001
UEC04RTS4155111000,41,55,Paediatrics,Paediatric dermatology,416076006
UEC04RTS4191111000,41,91,Paediatrics,Paediatric allergy,885391000000103
UEC04RTS5111111000,51,11,ObGyn,Gynaecology,183549000
UEC04RTS5115111000,51,15,ObGyn,Obstetrics,183548008
UEC04RTS6111111000,61,11,Psychiatric,Mental Health Act assessment,202291000000107
UEC04RTS6113111000,61,13,Psychiatric,Liaison psychiatry,306136006
UEC04RTS6115111000,61,15,Psychiatric,Child and adolescent mental health service,380241000000107
UEC04RTS6120111000,61,20,Psychiatric,Psychiatry (general),183524004
UEC04RTS6125111000,61,25,Psychiatric,Older persons mental health service,306138007
UEC04RTS6140111000,61,40,Psychiatric,Learning disability team,413127007
UEC04RTS7113111000,71,13,Local Medical,General Practitioner,183561008
UEC04RTS7115111000,71,15,Local Medical,General practitioner out of hours,770411000000102
UEC04RTS7131111000,71,31,Local Medical,Primary health care team,276490004
UEC04RTS7161111000,71,61,Local Medical,Occupational health,306152009
UEC04RTS8111111000,81,11,Community / OPD,Falls service,247541000000106
UEC04RTS8112111000,81,12,Community / OPD,Older people rapid assessment,818861000000107
UEC04RTS8113111000,81,13,Community / OPD,Community nursing out of hours,516511000000107
UEC04RTS8114111000,81,14,Community / OPD,Psychiatric aftercare,61801003
UEC04RTS8115111000,81,15,Community / OPD,Alcoholism rehabilitation,38670004
UEC04RTS8116111000,81,16,Community / OPD,Drug addiction rehabilitation,4266003
UEC04RTS8117111000,81,17,Community / OPD,Physical rehabilitation,78429003
UEC04RTS8118111000,81,18,Community / OPD,Anticoagulant clinic,415263003
UEC04RTS8119111000,81,19,Community / OPD,Head injury rehabilitation,307375003
UEC04RTS8120111000,81,20,Community / OPD,Memory assessment service,823961000000102
UEC04RTS8121111000,81,21,Community / OPD,Neurological rehabilitation,894171000000100
UEC04RTS8141111000,81,41,Community / OPD,Community rapid response team,353961000000104
UEC04RTS8142111000,81,42,Community / OPD,Community rehabilitation,307376002
UEC04RTS8143111000,81,43,Community / OPD,Community diabetes,811391000000104
UEC04RTS8144111000,81,44,Community / OPD,Community paediatric,306129005
UEC04RTS8145111000,81,45,Community / OPD,Community dermatology,785701000000106
UEC04RTS8146111000,81,46,Community / OPD,Community cardiology,785761000000105
UEC04RTS8161111000,81,61,Community / OPD,Swallow clinic,307380007
UEC04RTS8162111000,81,62,Community / OPD,Community ophthalmology,785721000000102
UEC04RTS8164111000,81,64,Community / OPD,Community gynaecology,785781000000101
UEC04RTS8165111000,81,65,Community / OPD,Community gastroenterology,785621000000108
UEC04RTS8166111000,81,66,Community / OPD,"Community ear, nose and throat",785681000000109
