ECDS_UniqueID,Sort1,Sort2,ECDS_Group1,ECDS_Description,SNOMED_Code
UEC04TRT1111111000,11,11,Airway / Breathing,Supplemental oxygen,57485005
UEC04TRT1131111000,11,31,Airway / Breathing,Nebuliser / spacer,56251003
UEC04TRT1135111000,11,35,Airway / Breathing,Metered dose inhaler + spacer,243132000
UEC04TRT1141111000,11,41,Airway / Breathing,Nasal airway,182692007
UEC04TRT1161111000,11,61,Airway / Breathing,Anaesthesia : general anaesthetic,50697003
UEC04TRT1151111000,11,51,Airway / Breathing,Non-invasive ventilation,428311008
UEC04TRT1165111000,11,65,Airway / Breathing,Intubation : ETT or LMA,112798008
UEC04TRT1181111000,11,81,Airway / Breathing,Chest drain,264957007
UEC04TRT2111111000,21,11,Circulation,Cardiac monitor surveillance (regime/therapy),88140007
UEC04TRT2113111000,21,13,Circulation,Intravenous cannula,392231009
UEC04TRT2115111000,21,15,Circulation,Intraosseous cannula,430824005
UEC04TRT2121111000,21,21,Circulation,Infusion fluids,103744005
UEC04TRT2131111000,21,31,Circulation,Blood product transfusion,116859006
UEC04TRT2151111000,21,51,Circulation,Arterial line,392247006
UEC04TRT2161111000,21,61,Circulation,Central line,233527006
UEC04TRT2171111000,21,71,Circulation,External pacing,18590009
UEC04TRT3111111000,31,11,Resuscitation,Defibrillation,250980009
UEC04TRT3121111000,31,21,Resuscitation,Cardiopulmonary resuscitation not attempted,428348004
UEC04TRT3131111000,31,31,Resuscitation,Resuscitation / cardiopulmonary resuscitation,439569004
UEC04TRT3171111000,31,71,Resuscitation,Active rewarming of the hypothermic patient,241740008
UEC04TRT3175111000,31,75,Resuscitation,Cooling : control body temperature,182660006
UEC04TRT3181111000,31,81,Resuscitation,Percutaneous vascular occlusion (e.g.REBOA),240943006
UEC04TRT3191111000,31,91,Resuscitation,Resuscitative thoracotomy,36936009
UEC04TRT3511111000,35,11,Analgesia,Anaesthesia : local anaesthetic,386761002
UEC04TRT3521111000,35,21,Analgesia,Anaesthesia : entonox,427035008
UEC04TRT3541111000,35,41,Analgesia,Anaesthesia : regional block,27372005
UEC04TRT3561111000,35,61,Analgesia,Anaesthesia; sedation monitored,398239001
UEC04TRT4111111000,41,11,Medication,Administration of medication,18629005
UEC04TRT4121111000,41,21,Medication,Intravenous drug : bolus,433215005
UEC04TRT4123111000,41,23,Medication,Intravenous antibiotics,281790008
UEC04TRT4125111000,41,25,Medication,Intravenous drug : infusion,432054008
UEC04TRT4131111000,41,31,Medication,Prescription / medicines prepared to take away,266712008
UEC04TRT4161111000,41,61,Medication,Lavage / emesis / charcoal / eye irrigation,226871000000103
UEC04TRT4181111000,41,81,Medication,Parenteral thrombolysis : tPA,307521008
UEC04TRT4511111000,45,11,Procedures,Urinary catheter / suprapubic,410024004
UEC04TRT4521111000,45,21,Procedures,Nasogastric tube,87750000
UEC04TRT4531111000,45,31,Procedures,Minor surgery,711580002
UEC04TRT4541111000,45,41,Procedures,Lumbar puncture,265232001
UEC04TRT4551111000,45,51,Procedures,Removal foreign body,10849003
UEC04TRT4561111000,45,61,Procedures,Pleural aspiration,91602002
UEC04TRT4562111000,45,62,Procedures,Pleural drainage,278296000
UEC04TRT4565111000,45,65,Procedures,Ascitic aspiration,178016006
UEC04TRT4566111000,45,66,Procedures,Ascitic drainage,178012008
UEC04TRT4569111000,45,69,Procedures,Gastrostomy tube change,6125005
UEC04TRT5111111000,51,11,Wound Management,Dressing : wound / burn / eye,15631002
UEC04TRT5131111000,51,31,Wound Management,Wound closure : steristrips,71810007
UEC04TRT5135111000,51,35,Wound Management,Wound closure : glue,284182000
UEC04TRT5139111000,51,39,Wound Management,Wound closure : other e.g. staples,50015006
UEC04TRT5151111000,51,51,Wound Management,Sutures : primary,18557009
UEC04TRT5155111000,51,55,Wound Management,Sutures : complex / secondary,71539001
UEC04TRT5159111000,51,59,Wound Management,Removal of sutures / clips,30549001
UEC04TRT5171111000,51,71,Wound Management,Tetanus : toxoid - booster,127786006
UEC04TRT5175111000,51,75,Wound Management,Administration of human tetanus immune globulin,572261000119106
UEC04TRT5511111000,55,11,Orthopaedic,Plaster of Paris : applied,180289009
UEC04TRT5515111000,55,15,Orthopaedic,Plaster of Paris : removed,180291001
UEC04TRT5521111000,55,21,Orthopaedic,Application of splint,79321009
UEC04TRT5523111000,55,23,Orthopaedic,Sling / collar cuff / broad arm sling,52037006
UEC04TRT5525111000,55,25,Orthopaedic,Provision of walking aid (e.g. crutches),243751002
UEC04TRT5531111000,55,31,Orthopaedic,Manipulation upper limb fracture,267765006
UEC04TRT5535111000,55,35,Orthopaedic,Manipulation lower limb fracture,150617003
UEC04TRT5541111000,55,41,Orthopaedic,Manipulation dislocation,122944000
