ECDS_UniqueID,Sort1,Sort2,ECDS_Group1,ECDS_Description,SNOMED_Code
UEC04SPL1111111000,11,11,Most common,English,315570003
UEC04SPL1116111000,11,16,Most common,French,315571004
UEC04SPL1121111000,11,21,Most common,German,407643006
UEC04SPL1126111000,11,26,Most common,Polish,315579002
UEC04SPL1131111000,11,31,Most common,Spanish,315584008
UEC04SPL1136111000,11,36,Most common,Chinese,970501000000106
UEC04SPL1141111000,11,41,Most common,Welsh,408532009
UEC04SPL1146111000,11,46,Most common,Irish,698667006
UEC04SPL1151111000,11,51,Most common,Gaelic,408522002
UEC04SPL1156111000,11,56,Most common,Cornish,970531000000100
UEC04SPL1161111000,11,61,Most common,Romany,718512007
UEC04SPL2111111000,21,11,Common A-E,Albanian,407648002
UEC04SPL2116111000,21,16,Common A-E,Arabic,315566006
UEC04SPL2121111000,21,21,Common A-E,Belarusian,698655009
UEC04SPL2126111000,21,26,Common A-E,Bengali,315567002
UEC04SPL2131111000,21,31,Common A-E,Bosnian,970471000000104
UEC04SPL2136111000,21,36,Common A-E,Bulgarian,699945003
UEC04SPL2141111000,21,41,Common A-E,Burmese,698891000
UEC04SPL2146111000,21,46,Common A-E,Cantonese,315568007
UEC04SPL2151111000,21,51,Common A-E,Catalan,698892007
UEC04SPL2156111000,21,56,Common A-E,Chechen,970491000000100
UEC04SPL2161111000,21,61,Common A-E,Croatian,407650005
UEC04SPL2166111000,21,66,Common A-E,Czech,315569004
UEC04SPL2171111000,21,71,Common A-E,Danish,698894008
UEC04SPL2176111000,21,76,Common A-E,Dutch,408528003
UEC04SPL2181111000,21,81,Common A-E,Estonian,698659003
UEC04SPL2186111000,21,86,Common A-E,Ethiopian,408515005
UEC04SPL2611111000,26,11,Common F-J,Filipino,503511000000100
UEC04SPL2616111000,26,16,Common F-J,Finnish,414640006
UEC04SPL2621111000,26,21,Common F-J,Flemish,408520005
UEC04SPL2626111000,26,26,Common F-J,Georgian,698898006
UEC04SPL2631111000,26,31,Common F-J,Greek,407652002
UEC04SPL2636111000,26,36,Common F-J,Gujarati,315572006
UEC04SPL2641111000,26,41,Common F-J,Hebrew,408524001
UEC04SPL2646111000,26,46,Common F-J,Hindi,315575008
UEC04SPL2651111000,26,51,Common F-J,Hungarian,698900008
UEC04SPL2656111000,26,56,Common F-J,Icelandic,698663005
UEC04SPL2661111000,26,61,Common F-J,Indonesian,698901007
UEC04SPL2666111000,26,66,Common F-J,Italian,407642001
UEC04SPL2671111000,26,71,Common F-J,Japanese,407654001
UEC04SPL3111111000,31,11,Common K-R,Kashmiri,698906002
UEC04SPL3116111000,31,16,Common K-R,Kurdish,395109004
UEC04SPL3121111000,31,21,Common K-R,Latvian,698909009
UEC04SPL3126111000,31,26,Common K-R,Lithuanian,407656004
UEC04SPL3131111000,31,31,Common K-R,Macedonian,698670005
UEC04SPL3136111000,31,36,Common K-R,Malay,698672002
UEC04SPL3141111000,31,41,Common K-R,Mandarin,315578005
UEC04SPL3146111000,31,46,Common K-R,Nepali,698676004
UEC04SPL3151111000,31,51,Common K-R,Norwegian,408530001
UEC04SPL3156111000,31,56,Common K-R,Portuguese,315580004
UEC04SPL3161111000,31,61,Common K-R,Punjabi,315581000
UEC04SPL3166111000,31,66,Common K-R,Romanian,698678003
UEC04SPL3171111000,31,71,Common K-R,Russian,315582007
UEC04SPL3176111000,31,76,Common K-R,Kazakh,698668001
UEC04SPL3611111000,36,11,Common S-Z,Serbian,408535006
UEC04SPL3616111000,36,16,Common S-Z,Slovak,698920009
UEC04SPL3621111000,36,21,Common S-Z,Slovenian,698921008
UEC04SPL3626111000,36,26,Common S-Z,Somali,315583002
UEC04SPL3631111000,36,31,Common S-Z,Sundanese,698681008
UEC04SPL3636111000,36,36,Common S-Z,Swahili,315585009
UEC04SPL3641111000,36,41,Common S-Z,Swedish,408516006
UEC04SPL3646111000,36,46,Common S-Z,Tamil,315587001
UEC04SPL3651111000,36,51,Common S-Z,Thai,408519004
UEC04SPL3656111000,36,56,Common S-Z,Turkish,407657008
UEC04SPL3661111000,36,61,Common S-Z,Turkmen,698928002
UEC04SPL3666111000,36,66,Common S-Z,Ukrainian,407659006
UEC04SPL3671111000,36,71,Common S-Z,Urdu,315588006
UEC04SPL3676111000,36,76,Common S-Z,Uzbek,698930000
UEC04SPL3681111000,36,81,Common S-Z,Vietnamese,407661002
UEC04SPL5111111000,51,11,Uncommon A-E,Abkhazian,698651000
UEC04SPL5114111000,51,14,Uncommon A-E,Afar,698652007
UEC04SPL5117111000,51,17,Uncommon A-E,Afrikaans,698653002
UEC04SPL5120111000,51,20,Uncommon A-E,Akan,408525000
UEC04SPL5123111000,51,23,Uncommon A-E,Amharic,408507007
UEC04SPL5126111000,51,26,Uncommon A-E,Aragonese,809341000000106
UEC04SPL5129111000,51,29,Uncommon A-E,Armenian,698885002
UEC04SPL5132111000,51,32,Uncommon A-E,Assamese,698886001
UEC04SPL5135111000,51,35,Uncommon A-E,Avaric,970441000000105
UEC04SPL5138111000,51,38,Uncommon A-E,Avestan,970451000000108
UEC04SPL5141111000,51,41,Uncommon A-E,Aymara,698887005
UEC04SPL5144111000,51,44,Uncommon A-E,Azerbaijani,698888000
UEC04SPL5147111000,51,47,Uncommon A-E,Bambara,970461000000106
UEC04SPL5150111000,51,50,Uncommon A-E,Bamun,609092003
UEC04SPL5153111000,51,53,Uncommon A-E,Bashkir,698889008
UEC04SPL5156111000,51,56,Uncommon A-E,Basque,698654008
UEC04SPL5159111000,51,59,Uncommon A-E,Bihari,698656005
UEC04SPL5162111000,51,62,Uncommon A-E,Bislama,698890004
UEC04SPL5165111000,51,65,Uncommon A-E,Brawa,408513003
UEC04SPL5168111000,51,68,Uncommon A-E,Breton,698657001
UEC04SPL5171111000,51,71,Uncommon A-E,Central Khmer,698893002
UEC04SPL5174111000,51,74,Uncommon A-E,Chamorro,970481000000102
UEC04SPL5177111000,51,77,Uncommon A-E,Zhuang,698935005
UEC04SPL5180111000,51,80,Uncommon A-E,Church Slavic,970511000000108
UEC04SPL5183111000,51,83,Uncommon A-E,Chuvash,970521000000102
UEC04SPL5186111000,51,86,Uncommon A-E,Corsican,698658006
UEC04SPL5189111000,51,89,Uncommon A-E,Cree,970541000000109
UEC04SPL5192111000,51,92,Uncommon A-E,Dari,609093008
UEC04SPL5194111000,51,94,Uncommon A-E,Dhivehi,970551000000107
UEC04SPL5197111000,51,97,Uncommon A-E,Esperanto,698896005
UEC04SPL5199111000,51,99,Uncommon A-E,Ewe,970561000000105
UEC04SPL5611111000,56,11,Uncommon F-J,Faroese,698660008
UEC04SPL5614111000,56,14,Uncommon F-J,Farsi,395108007
UEC04SPL5617111000,56,17,Uncommon F-J,Fijian,698897001
UEC04SPL5620111000,56,20,Uncommon F-J,French Creole,408521009
UEC04SPL5623111000,56,23,Uncommon F-J,Frisian,698661007
UEC04SPL5626111000,56,26,Uncommon F-J,Fulani,729051000000103
UEC04SPL5629111000,56,29,Uncommon F-J,Galician,698662000
UEC04SPL5632111000,56,32,Uncommon F-J,Guarani,698899003
UEC04SPL5635111000,56,35,Uncommon F-J,Haitian,970601000000105
UEC04SPL5638111000,56,38,Uncommon F-J,Hakka,408523007
UEC04SPL5641111000,56,41,Uncommon F-J,Hausa,315574007
UEC04SPL5644111000,56,44,Uncommon F-J,Herero,970611000000107
UEC04SPL5647111000,56,47,Uncommon F-J,Hindko,511841000000102
UEC04SPL5650111000,56,50,Uncommon F-J,Hiri Motu,970621000000101
UEC04SPL5653111000,56,53,Uncommon F-J,Iba,315576009
UEC04SPL5656111000,56,56,Uncommon F-J,Ido,970631000000104
UEC04SPL5659111000,56,59,Uncommon F-J,Igbo,408514009
UEC04SPL5662111000,56,62,Uncommon F-J,Interlingua,698664004
UEC04SPL5665111000,56,65,Uncommon F-J,Inuktitut,698665003
UEC04SPL5668111000,56,68,Uncommon F-J,Inupiaq,698666002
UEC04SPL5671111000,56,71,Uncommon F-J,Javanese,698903005
UEC04SPL5674111000,56,74,Uncommon F-J,Dzongkha,698895009
UEC04SPL6111111000,61,11,Uncommon K-R,Kalaallisut,698904004
UEC04SPL6113111000,61,13,Uncommon K-R,Kanarese,698905003
UEC04SPL6115111000,61,15,Uncommon K-R,Kanuri,970641000000108
UEC04SPL6117111000,61,17,Uncommon K-R,Kikuyu,729061000000100
UEC04SPL6119111000,61,19,Uncommon K-R,Kirgiz,698908001
UEC04SPL6121111000,61,21,Uncommon K-R,Komi,970651000000106
UEC04SPL6123111000,61,23,Uncommon K-R,Kongo,970661000000109
UEC04SPL6125111000,61,25,Uncommon K-R,Konkani,609094002
UEC04SPL6127111000,61,27,Uncommon K-R,Korean,407655000
UEC04SPL6129111000,61,29,Uncommon K-R,Kuanyama,970681000000100
UEC04SPL6131111000,61,31,Uncommon K-R,Kutchi,315577000
UEC04SPL6133111000,61,33,Uncommon K-R,Lao,698669009
UEC04SPL6135111000,61,35,Uncommon K-R,Latin,970691000000103
UEC04SPL6137111000,61,37,Uncommon K-R,Limburgan,970701000000103
UEC04SPL6139111000,61,39,Uncommon K-R,Lingala,408526004
UEC04SPL6141111000,61,41,Uncommon K-R,Luba-Katanga,970711000000101
UEC04SPL6143111000,61,43,Uncommon K-R,Luganda,408527008
UEC04SPL6145111000,61,45,Uncommon K-R,Luxembourgish,970721000000107
UEC04SPL6147111000,61,47,Uncommon K-R,Malagasy,698671009
UEC04SPL6149111000,61,49,Uncommon K-R,Malayalam,408529006
UEC04SPL6151111000,61,51,Uncommon K-R,Maltese,698910004
UEC04SPL6153111000,61,53,Uncommon K-R,Manx,970741000000100
UEC04SPL6155111000,61,55,Uncommon K-R,Maori,698673007
UEC04SPL6157111000,61,57,Uncommon K-R,Marathi,698674001
UEC04SPL6159111000,61,59,Uncommon K-R,Marshallese,970751000000102
UEC04SPL6161111000,61,61,Uncommon K-R,Moldavian,698911000
UEC04SPL6163111000,61,63,Uncommon K-R,Mongolian,698675000
UEC04SPL6165111000,61,65,Uncommon K-R,Nauru,698912007
UEC04SPL6167111000,61,67,Uncommon K-R,Navajo,970771000000106
UEC04SPL6171111000,61,71,Uncommon K-R,Ndebele,698913002
UEC04SPL6172111000,61,72,Uncommon K-R,Ndonga,970781000000108
UEC04SPL6173111000,61,73,Uncommon K-R,Northern Ndebele,970801000000109
UEC04SPL6174111000,61,74,Uncommon K-R,Northern Sami,970811000000106
UEC04SPL6175111000,61,75,Uncommon K-R,Norwegian Bokmal,970821000000100
UEC04SPL6176111000,61,76,Uncommon K-R,Norwegian Nynorsk,970831000000103
UEC04SPL6177111000,61,77,Uncommon K-R,Nuosu,970961000000102
UEC04SPL6178111000,61,78,Uncommon K-R,Nyanja,729041000000101
UEC04SPL6179111000,61,79,Uncommon K-R,Interlingue,698902000
UEC04SPL6180111000,61,80,Uncommon K-R,Occitan,698914008
UEC04SPL6181111000,61,81,Uncommon K-R,Ojibwa,970851000000105
UEC04SPL6182111000,61,82,Uncommon K-R,Oriya,698915009
UEC04SPL6183111000,61,83,Uncommon K-R,Oromo,698916005
UEC04SPL6184111000,61,84,Uncommon K-R,Ossetian,970871000000101
UEC04SPL6185111000,61,85,Uncommon K-R,Pali,970881000000104
UEC04SPL6186111000,61,86,Uncommon K-R,Pashto,408531002
UEC04SPL6187111000,61,87,Uncommon K-R,Patois,408534005
UEC04SPL6188111000,61,88,Uncommon K-R,Patient refused to disclose,764526007
UEC04SPL6189111000,61,89,Uncommon K-R,Pushto,970911000000104
UEC04SPL6190111000,61,90,Uncommon K-R,Quechua,698677008
UEC04SPL6191111000,61,91,Uncommon K-R,Romansh,698917001
UEC04SPL6192111000,61,92,Uncommon K-R,Kinyarwanda,698907006
UEC04SPL6193111000,61,93,Uncommon K-R,Rundi,698679006
UEC04SPL6611111000,66,11,Uncommon S-Z,Samoan,698680009
UEC04SPL6613111000,66,13,Uncommon S-Z,Sango,698918006
UEC04SPL6615111000,66,15,Uncommon S-Z,Sanskrit,970921000000105
UEC04SPL6617111000,66,17,Uncommon S-Z,Sardinian,970931000000107
UEC04SPL6619111000,66,19,Uncommon S-Z,Scottish Gaelic,970941000000103
UEC04SPL6621111000,66,21,Uncommon S-Z,Shona,395110009
UEC04SPL6623111000,66,23,Uncommon S-Z,Sindhi,698919003
UEC04SPL6625111000,66,25,Uncommon S-Z,Sinhala,408518007
UEC04SPL6627111000,66,27,Uncommon S-Z,South Ndebele,970971000000109
UEC04SPL6629111000,66,29,Uncommon S-Z,Southern Sotho,698922001
UEC04SPL6631111000,66,31,Uncommon S-Z,Swazi,698923006
UEC04SPL6633111000,66,33,Uncommon S-Z,Sylheti,315586005
UEC04SPL6635111000,66,35,Uncommon S-Z,Tagalog,408517002
UEC04SPL6637111000,66,37,Uncommon S-Z,Tahitian,970991000000108
UEC04SPL6639111000,66,39,Uncommon S-Z,Tajik,698682001
UEC04SPL6641111000,66,41,Uncommon S-Z,Tatar,698924000
