ECDS_UniqueID,Sort1,Sort2,ECDS_Group1,ECDS_Description,SNOMED_Code
UEC04INL1111111000,11,11,Most common,French,203441000000106
UEC04INL1116111000,11,16,Most common,German,203581000000102
UEC04INL1121111000,11,21,Most common,Polish,203901000000102
UEC04INL1126111000,11,26,Most common,Italian,203371000000106
UEC04INL1131111000,11,31,Most common,Spanish,204031000000105
UEC04INL1136111000,11,36,Most common,Chinese,972591000000100
UEC04INL1141111000,11,41,Most common,Hindi,203651000000107
UEC04INL1146111000,11,46,Most common,Urdu,204211000000109
UEC04INL1151111000,11,51,Most common,Irish,972731000000105
UEC04INL1156111000,11,56,Most common,Gaelic,343721000000107
UEC04INL1161111000,11,61,Most common,Welsh,204231000000101
UEC04INL2111111000,21,11,Accessibility,British Sign Language,204331000000107
UEC04INL2116111000,21,16,Accessibility,Hands-on Sign Language,945731000000104
UEC04INL2121111000,21,21,Accessibility,Makaton Sign Language,204341000000103
UEC04INL2126111000,21,26,Accessibility,Sign Supported English,936761000000104
UEC04INL2131111000,21,31,Accessibility,Visual Frame Sign Language,945711000000107
UEC04INL3111111000,31,11,Common A-E,Albanian,203291000000102
UEC04INL3114111000,31,14,Common A-E,Arabic,203311000000101
UEC04INL3117111000,31,17,Common A-E,Armenian,362261000000106
UEC04INL3120111000,31,20,Common A-E,Bengali,203321000000107
UEC04INL3123111000,31,23,Common A-E,Bosnian,972561000000106
UEC04INL3126111000,31,26,Common A-E,Bulgarian,353921000000107
UEC04INL3129111000,31,29,Common A-E,Burmese,362371000000109
UEC04INL3132111000,31,32,Common A-E,Cantonese,203381000000108
UEC04INL3135111000,31,35,Common A-E,Chechen,972581000000102
UEC04INL3138111000,31,38,Common A-E,Croatian,203391000000105
UEC04INL3141111000,31,41,Common A-E,Czech,203401000000108
UEC04INL3144111000,31,44,Common A-E,Danish,361971000000101
UEC04INL3147111000,31,47,Common A-E,Dutch,203411000000105
UEC04INL3150111000,31,50,Common A-E,Estonian,361911000000106
UEC04INL3153111000,31,53,Common A-E,Ethiopian,359791000000109
UEC04INL3611111000,36,11,Common F-J,Finnish,343701000000103
UEC04INL3614111000,36,14,Common F-J,Flemish,343711000000101
UEC04INL3617111000,36,17,Common F-J,Georgian,361471000000106
UEC04INL3620111000,36,20,Common F-J,Greek,203591000000100
UEC04INL3623111000,36,23,Common F-J,Gujarati,203601000000106
UEC04INL3626111000,36,26,Common F-J,Hebrew,203641000000109
UEC04INL3629111000,36,29,Common F-J,Hungarian,360431000000104
UEC04INL3632111000,36,32,Common F-J,Icelandic,360401000000105
UEC04INL3635111000,36,35,Common F-J,Indonesian,362111000000101
UEC04INL3638111000,36,38,Common F-J,Japanese,203681000000101
UEC04INL3641111000,36,41,Common F-J,Javanese,360281000000101
UEC04INL4111111000,41,11,Common K-R,Kashmiri,360191000000109
UEC04INL4114111000,41,14,Common K-R,Kazakh,360221000000102
UEC04INL4117111000,41,17,Common K-R,Korean,203691000000104
UEC04INL4120111000,41,20,Common K-R,Kurdish,203701000000104
UEC04INL4123111000,41,23,Common K-R,Latvian,360071000000106
UEC04INL4126111000,41,26,Common K-R,Lithuanian,203721000000108
UEC04INL4129111000,41,29,Common K-R,Macedonian,359971000000108
UEC04INL4132111000,41,32,Common K-R,Malay,360161000000103
UEC04INL4135111000,41,35,Common K-R,Mandarin,203821000000101
UEC04INL4138111000,41,38,Common K-R,Nepali,364251000000104
UEC04INL4141111000,41,41,Common K-R,Norwegian,972941000000104
UEC04INL4144111000,41,44,Common K-R,Portuguese,203911000000100
UEC04INL4147111000,41,47,Common K-R,Panjabi,203961000000103
UEC04INL4150111000,41,50,Common K-R,Romanian,353881000000101
UEC04INL4153111000,41,53,Common K-R,Russian,203971000000105
UEC04INL4611111000,46,11,Common S-Z,Serbian,203981000000107
UEC04INL4614111000,46,14,Common S-Z,Serbo-Croatian,973061000000107
UEC04INL4617111000,46,17,Common S-Z,Slovak,352901000000108
UEC04INL4620111000,46,20,Common S-Z,Slovenian,363591000000107
UEC04INL4623111000,46,23,Common S-Z,Somali,204021000000108
UEC04INL4626111000,46,26,Common S-Z,Sundanese,363781000000103
UEC04INL4629111000,46,29,Common S-Z,Swahili,204041000000101
UEC04INL4632111000,46,32,Common S-Z,Swedish,204051000000103
UEC04INL4635111000,46,35,Common S-Z,Tamil,204131000000109
UEC04INL4638111000,46,38,Common S-Z,Thai,204151000000102
UEC04INL4641111000,46,41,Common S-Z,Tibetan,363141000000105
UEC04INL4644111000,46,44,Common S-Z,Turkish,204191000000105
UEC04INL4647111000,46,47,Common S-Z,Ukrainian,204201000000107
UEC04INL4650111000,46,50,Common S-Z,Vietnamese,204221000000103
UEC04INL6111111000,61,11,Uncommon A-E,Abkhazian,362721000000106
UEC04INL6113111000,61,13,Uncommon A-E,Afar,362691000000102
UEC04INL6115111000,61,15,Uncommon A-E,Afrikaans,362571000000102
UEC04INL6117111000,61,17,Uncommon A-E,Akan,203281000000104
UEC04INL6119111000,61,19,Uncommon A-E,Amharic,203301000000103
UEC04INL6121111000,61,21,Uncommon A-E,Aragonese,972511000000109
UEC04INL6123111000,61,23,Uncommon A-E,Assamese,362231000000101
UEC04INL6125111000,61,25,Uncommon A-E,Avaric,972521000000103
UEC04INL6127111000,61,27,Uncommon A-E,Avestan,972531000000101
UEC04INL6129111000,61,29,Uncommon A-E,Aymara,362541000000108
UEC04INL6131111000,61,31,Uncommon A-E,Azerbaijani,362611000000106
UEC04INL6133111000,61,33,Uncommon A-E,Bambara,972541000000105
UEC04INL6135111000,61,35,Uncommon A-E,Bashkir,972551000000108
UEC04INL6137111000,61,37,Uncommon A-E,Basque,362641000000107
UEC04INL6139111000,61,39,Uncommon A-E,Belarusian,362071000000107
UEC04INL6141111000,61,41,Uncommon A-E,Bihari,362201000000107
UEC04INL6143111000,61,43,Uncommon A-E,Bislama,362171000000106
UEC04INL6145111000,61,45,Uncommon A-E,Brawa,359821000000104
UEC04INL6147111000,61,47,Uncommon A-E,Breton,362141000000100
UEC04INL6149111000,61,49,Uncommon A-E,Catalan,362041000000101
UEC04INL6151111000,61,51,Uncommon A-E,Central Khmer,362331000000107
UEC04INL6153111000,61,53,Uncommon A-E,Chamorro,972571000000104
UEC04INL6155111000,61,55,Uncommon A-E,Church Slavic,972601000000106
UEC04INL6157111000,61,57,Uncommon A-E,Chuvash,972611000000108
UEC04INL6159111000,61,59,Uncommon A-E,Cornish,972621000000102
UEC04INL6161111000,61,61,Uncommon A-E,Corsican,361941000000107
UEC04INL6163111000,61,63,Uncommon A-E,Cree,972631000000100
UEC04INL6165111000,61,65,Uncommon A-E,Dhivehi,972641000000109
UEC04INL6167111000,61,67,Uncommon A-E,Dzongkha,362781000000107
UEC04INL6169111000,61,69,Uncommon A-E,English,343671000000102
UEC04INL6171111000,61,71,Uncommon A-E,Esperanto,361881000000106
UEC04INL6173111000,61,73,Uncommon A-E,Ewe,972651000000107
